[header]
width=16
height=12
tilewidth=80
tileheight=80

[tilesets]
tileset=res/tiles.png,80,80,0,0

[layer]
type=Tile Layer 1
data=
1,5,9,1,5,9,1,5,9,1,5,9,6,7,8,1,
5,1,5,5,1,5,5,1,5,5,1,5,10,11,12,5,
9,5,1,9,5,1,9,5,1,9,5,1,9,5,1,9,
1,9,5,2,3,4,1,9,5,1,9,5,1,9,5,1,
5,1,9,6,7,8,5,1,9,5,1,9,5,1,9,5,
9,5,1,10,11,12,9,5,1,9,5,1,9,5,1,9,
1,9,5,1,5,9,1,5,9,1,5,9,1,5,9,1,
5,1,9,5,1,5,5,1,5,5,1,5,5,1,5,5,
9,5,1,9,5,1,9,5,1,9,5,1,9,5,1,9,
1,9,5,1,9,5,1,9,5,1,9,5,1,9,5,1,
5,1,9,5,1,9,5,2,3,4,1,9,5,1,9,5,
9,5,1,9,5,1,9,6,7,8,5,1,9,5,1,9

